City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
167,Solnechnyy,RU,50.7214,136.6319,-16.71,98,100,1.19,overcast clouds
168,Balkanabat,TM,39.5108,54.3671,33.67,53,23,1.86,few clouds
169,General Pico,AR,-35.6566,-63.7568,89.85,32,61,16.4,broken clouds
170,Joshimath,IN,30.5667,79.5667,42.67,57,100,3.29,overcast clouds
171,Port Alfred,ZA,-33.5906,26.891,75.18,78,100,1.01,overcast clouds
172,Parana,AR,-31.732,-60.5238,86.56,56,89,10.76,overcast clouds
173,Lavrentiya,RU,65.5833,-171.0,-21.68,92,14,7.63,few clouds
174,Verkhoyansk,RU,67.5447,133.385,-47.29,99,98,1.45,overcast clouds
175,Sur,OM,22.5667,59.5289,71.56,77,89,12.53,overcast clouds
176,Brattvag,NO,62.6002,6.4434,37.06,87,75,11.5,light snow
177,Cayenne,GF,4.9333,-52.3333,73.44,94,75,3.44,light rain
178,Cartagena,CO,10.3997,-75.5144,83.82,65,20,6.91,few clouds
179,Bacalar,MX,18.6667,-88.3833,80.71,78,20,11.5,few clouds
180,Pitimbu,BR,-7.4706,-34.8086,75.79,84,78,10.47,broken clouds
181,Fairbanks,US,64.8378,-147.7164,-9.9,77,20,0.0,mist
182,Belyy Yar,RU,53.6039,91.3903,5.86,82,40,0.0,light shower snow
183,Quelimane,MZ,-17.8786,36.8883,78.75,89,20,3.44,few clouds
184,Qaqortoq,GL,60.7167,-46.0333,26.13,76,100,7.14,overcast clouds
185,Khani,GE,41.9563,42.9566,35.17,64,61,6.64,broken clouds
186,Bogorodskoye,RU,56.55,37.8833,31.44,89,99,19.91,overcast clouds
187,Dikson,RU,73.5069,80.5464,-20.45,83,100,5.75,overcast clouds
188,Mahebourg,MU,-20.4081,57.7,78.26,94,75,20.71,moderate rain
189,Uddevalla,SE,58.3478,11.9424,36.07,93,87,5.95,overcast clouds
190,Banda Aceh,ID,5.5577,95.3222,75.47,83,100,10.71,overcast clouds
191,Manzhouli,CN,49.6,117.4333,-5.06,93,98,14.67,overcast clouds
192,Jijiga,ET,9.35,42.8,58.01,45,75,9.93,broken clouds
193,Deputatskiy,RU,69.3,139.9,-25.92,100,67,1.39,broken clouds
194,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,88,0,11.36,clear sky
195,Puerto Leguizamo,CO,-0.1934,-74.7819,78.19,72,89,2.91,overcast clouds
196,Port Hedland,AU,-20.3167,118.5667,77.05,94,40,6.91,light rain
197,Maraba,BR,-5.3686,-49.1178,73.58,100,75,0.0,thunderstorm with light rain
198,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,78,0,12.66,clear sky
199,Divnomorskoye,RU,44.5011,38.1353,49.69,66,92,7.61,overcast clouds
200,Nanortalik,GL,60.1432,-45.2371,27.48,78,100,12.93,light snow
201,Kamina,CD,-8.7386,24.9906,61.18,95,38,2.21,scattered clouds
202,Kruisfontein,ZA,-34.0033,24.7314,76.89,62,100,5.17,overcast clouds
203,Tigil,RU,57.8,158.6667,-0.56,98,100,1.81,overcast clouds
204,Cabatuan,PH,10.8794,122.486,74.84,92,100,11.01,overcast clouds
205,Brae,GB,60.3964,-1.353,37.85,69,87,21.16,light rain
206,Codrington,AU,-38.2667,141.9667,58.84,52,100,14.5,overcast clouds
207,Akureyri,IS,65.6835,-18.0878,15.73,92,75,0.0,light snow
208,Hovd,MN,48.0056,91.6419,2.17,70,76,1.88,broken clouds
209,Nome,US,64.5011,-165.4064,-9.33,70,0,8.05,clear sky
210,Griffith,US,41.5284,-87.4237,38.3,80,100,11.5,overcast clouds
211,Srednekolymsk,RU,67.45,153.6833,-28.97,99,100,5.06,overcast clouds
212,Olinda,BR,-8.0089,-34.8553,80.33,74,75,6.91,light rain
213,Kansk,RU,56.2017,95.7175,-23.48,99,97,3.04,overcast clouds
214,Nouakchott,MR,18.0858,-15.9785,71.53,34,3,12.01,clear sky
215,Iqaluit,CA,63.7506,-68.5145,-16.31,68,0,11.5,clear sky
216,Bad Kissingen,DE,50.2,10.0833,26.4,94,51,2.98,broken clouds
217,Fortuna,US,40.5982,-124.1573,45.93,96,75,8.05,moderate rain
218,San Cristobal,VE,7.7669,-72.225,73.58,77,63,1.83,broken clouds
219,Kamenka,RU,51.3223,42.7678,21.07,81,7,14.61,clear sky
220,Quchan,IR,37.106,58.5095,26.17,94,51,2.53,broken clouds
221,Barranca,PE,-10.75,-77.7667,72.09,72,80,9.62,broken clouds
222,Kibre Mengist,ET,5.8833,38.9833,53.17,47,51,3.69,broken clouds
223,Gweta,BW,-20.1833,25.2333,73.31,74,37,9.15,scattered clouds
224,Hambantota,LK,6.1241,81.1185,74.61,65,78,16.08,broken clouds
225,Phaltan,IN,17.9833,74.4333,67.75,38,41,5.59,scattered clouds
226,Dukat,RU,62.55,155.55,-34.24,97,100,5.57,overcast clouds
227,Zhanaozen,KZ,43.3,52.8,26.1,47,38,8.72,scattered clouds
228,Cabo San Lucas,MX,22.8909,-109.9124,74.61,60,20,12.66,few clouds
229,Mora,CM,11.0461,14.1401,68.16,32,29,4.27,scattered clouds
230,Saint-Augustin,CA,51.226,-58.6502,31.86,99,100,2.82,overcast clouds
231,Novyy Urengoy,RU,66.0833,76.6333,-7.87,99,85,6.11,overcast clouds
232,Avera,US,33.194,-82.5271,65.37,86,99,4.92,overcast clouds
233,Morden,CA,49.1919,-98.1014,17.44,92,74,0.0,broken clouds
